GNB2L1	ITGB1
GNB2L1	PRKCE
GNB2L1	PIK3R4
GNB2L1	PRKCB
GNB2L1	HIF1A
GNB2L1	BECN1
GNB2L1	TNFRSF1A
GNB2L1	ITGB2
GNB2L1	RPS27A
GNB2L1	PRKCA
GNB2L1	RIPK1
GNB2L1	IRS1
GNB2L1	TNF
GNB2L1	RASA1
GNB2L1	SLC9A3R1
GNB2L1	SRC
GNB2L1	SDC2
GNG13	GNAO1
GNG13	GNB3
GNG13	GNA11
GNG13	GNAI3
GNG13	GNG3
GNG13	GNG10
GNG13	PRKCG
GNG13	GNA15
GNG13	GNGT2
GNG13	GNG8
GNG13	GNAI1
GNG13	PRKCA
GNG13	F2R
GNG13	GNB4
GNG13	SRC
GNG13	CACNB2
GNG13	LPAR4
GNG13	GNAI2
GNG13	CHRM1
GNG13	VIP
GNG13	GNB1
GNG13	GNA14
GNG13	CACNA1D
GNG13	PI4K2B
GNG13	GNB2
GNG13	ITPR3
GNG13	GNB5
GNG13	GNG4
GNG13	ITPR1
GNG13	GNAS
GNG13	GNAQ
GNG13	CACNB3
GNG13	LPAR5
GNG13	
GNG13	
GNG13	GNGT1
GNG13	CACNA2D2
GNG13	GNG12
CDKN1A	AKT2
GNG13	CACNA1C
CDKN1A	HIF1A
CDKN1A	RHOU
CDKN1A	ACTB
CDKN1A	STAT3
CDKN1A	FSCN1
CDKN1A	RHOA
CDKN1A	RPS27A
CDKN1A	PDPK1
CDKN1A	VIM
CDKN1A	AKT1
CDKN1A	SOCS3
CDKN1A	STAT5A
CDKN1A	SRC
CDKN1A	CASP3
CDKN1A	JAK2
CDKN1A	CREB1
CDKN1A	ESR1
CDKN1A	TP53
CDKN1A	JUN
CDKN1A	STAT1
CDKN1A	HSP90AA1
CDKN1A	ABL1
CDKN1A	PIK3R1
CDKN1A	GAPDH
CDKN1A	MAPK8
CDKN1A	FOXO1
CDKN1A	FOXO3
CDKN1A	CBFB
CDKN1A	HSP90AB1
CDKN1A	STAT5B
CDKN1A	LYN
CDKN1A	MAP3K5
LAMTOR3	TSC1
CDKN1A	AKT3
LAMTOR3	MLST8
LAMTOR3	AKT1S1
LAMTOR3	FLCN
LAMTOR3	BRAF
LAMTOR3	MAPK3
LAMTOR3	KSR1
LAMTOR3	RPS6KB1
LAMTOR3	FNIP1
LAMTOR3	MAPK1
LAMTOR3	RAF1
LAMTOR3	SEC13
LAMTOR3	MAP2K1
LAMTOR3	TSC2
LAMTOR3	MAP2K2
LAMTOR3	AKT1
LAMTOR3	ARAF
CREBBP	CSF2
LAMTOR3	MTOR
CREBBP	FOXO3
CREBBP	FOXO4
CREBBP	MAPK14
CREBBP	STAT5B
CREBBP	RELA
CREBBP	VEGFA
CREBBP	NFKBIA
CREBBP	NFKB1
CREBBP	FOS
CREBBP	STAT4
CREBBP	CHUK
CREBBP	CREB1
CREBBP	FOXO1
